1,1.33,1.93,-2.32,0.58
1,0.73,1.5,1.27,-1.88
1,2.06,4.69,-4.06,-0.91
1,2.36,3.21,-1.39,1.57
1,-1.14,-3.67,1.92,1
1,-5.97,-3.64,4.36,-0.11
1,2.76,2.53,-0.58,-0.01
1,5.02,-1.25,-3.75,2.69
1,0.86,-3.83,4.79,3.92
1,6.25,-3.62,0.15,-2.22
1,-1.7,3.11,1.01,0.61
1,4.99,-1.56,-2.36,1.95
1,-0.49,-2.47,4.67,-2.04
1,-5.03,-0.51,3.85,0.96
1,4.04,-5.54,-1.03,4.92
1,6.74,4.69,-4.37,-5.16
1,4.1,1.32,0.76,2.62
1,7.33,-2.71,-0.13,3.81
1,-4.15,7.65,1.36,-2.55
1,5.35,2.63,-0.22,1.44
1,-3.8,-0.57,2.2,-0.39
1,2.98,-5.22,0.98,0.3
1,1.32,-2.07,3.82,3.97
1,0.15,-1.32,-2.05,0.1
1,7.03,0.17,-0.91,-1.13
1,4.76,-0.72,1.25,2.15
1,0.73,0.2,0.34,0.77
1,-3.07,-3.1,4.13,1.87
1,3.18,-3.64,-2.17,7.28
1,-2.46,-5.27,-1.17,3.68
1,-16.08,-5.5,5.17,1.9
1,6.15,-0.95,-3.8,-0.71
1,7.13,-3.34,-2.67,-5.36
1,6.1,0.78,-3.52,1.16
1,6.16,-1.55,-4.68,9.06
1,3.5,-0.55,-5.6,3.05
1,-4.08,-4.94,1.62,-0.13
1,3.45,-4.13,-2.89,-1.29
1,4.33,4.41,2.37,-9.08
1,-2.46,3.76,2.67,-5.28
1,4.77,2.49,-4.19,4.88
1,-3.47,2.31,0.5,1.58
1,-1.38,-1.81,-0.88,3
1,-2.81,2.55,-2.99,6.45
1,6.13,-6.98,-3.13,5.49
1,3.37,6.29,-8.01,5.68
1,7.72,5.79,-9.4,13.21
1,-4.74,3.98,0.06,1.88
1,2.45,19.18,-13.11,18.38
1,5.2,-15.36,7.97,-6.8
1,-6.4,-5.76,9.29,-8.52
1,-4.42,-3.68,3.87,-9.06
1,4.64,10.61,-10.18,16.5
1,-2.51,-1.1,8.55,-0.12
1,7.03,-1.06,-1.29,5.7
1,-5.45,-0.01,6.82,2.15
1,-2.76,-2.81,4.7,-4.63
1,-10.72,-0.71,12.29,-2.44
1,1.19,3.24,6.11,6.73
1,3.13,6.16,-5.66,-25.01
1,-10.05,2.39,13.91,12.48
1,-7.26,2.31,6.22,8.38
1,7.94,-0.76,-4.38,-8.12
1,0.72,3.68,2.83,2.17
1,-1.94,6.72,-2.28,0.34
1,-2.13,-2.78,5.56,5.5
1,-6.46,2.46,3.28,5.54
1,-9.25,-5.87,1.82,11.55
1,2.46,5.26,-7.15,-8.38
1,7.54,0.14,0.69,-8.57
1,1.61,5.21,0.47,-0.03
1,-1.44,1.26,3.39,3.76
1,-2.29,-0.89,3.89,6.79
1,4.24,4.32,1.12,-1.64
1,-5.2,6.47,4.21,7.98
1,-1.38,-3.22,2.55,3.04
1,-7.21,3.43,1.5,6.14
1,-8.18,-6.23,-3.62,3.38
1,0.5,-1.21,2.29,1.75
1,-10.35,3.07,1.31,9.15
1,7.84,-4.08,-6.45,-5.46
1,5.96,3.2,-1.59,-16.28
1,-5.76,0.26,3.88,9.62
1,-2.57,0.85,-0.82,1.58
1,-1.88,-0.86,-1.45,1.25
1,1.09,0.55,-1.58,1.52
1,8.22,1.31,-0.09,-9.42
1,6.05,4.96,0.09,-10.76
1,1.42,1.62,0.71,-1.02
1,2.35,5.05,-2.04,-0.29
1,2.34,2.6,1.76,-0.54
1,-1.24,0.46,0.93,-0.19
1,6.08,2.78,1.69,3.75
1,1.35,2.36,1.39,1.63
1,4.29,-2.68,2.78,-5.69
1,2.15,2.5,1.66,2.59
1,1.4,-0.86,0.44,-1.1
1,-1.32,2.15,-0.05,0.2
1,-1.83,-2.48,-1.67,-5.36
1,1.17,-0.36,-0.26,1.65
1,1.86,2.56,1.63,2.07
1,-4.06,-3.09,4.56,-2.3
1,0.08,-1.23,1.24,-1.5
1,1.6,3.26,0.47,5.26
1,1.43,0.29,-0.82,-1.49
1,4.54,4.21,1.94,3.22
1,3.43,0.08,-0.37,-2.83
1,-2.76,-1.2,2.73,3.12
1,1.89,-0.39,2.84,3.21
1,-1.97,-1.42,1.7,0.54
1,-2.61,-4.02,-0.45,-0.81
1,3.65,2.77,-1.21,0.39
1,0.57,3.19,2.79,2.06
1,3.92,2.75,-0.47,0.04
1,-1.22,-0.87,1.47,2.24
1,0.49,-0.35,1.11,3.5
1,-2.02,-1.3,-0.67,-1.31
1,3.61,0.83,-1.85,0.35
1,-0.25,-0.32,0.5,0.74
1,3.04,5.7,1.17,2.76
1,-0.3,-0.42,-0.85,-1.82
1,1.46,3.44,-0.14,1.24
1,0.73,-0.82,3.06,0.66
1,-3.57,-3.01,2.79,-3.7
1,-0.35,-0.38,1.49,1.49
1,-0.78,-3.64,3.42,-2.19
1,2.03,0.44,-1.78,-3.47
1,1.84,-1.35,-0.5,-0.93
1,3.23,1.87,0.52,-0.26
1,1.71,0.77,0.53,-1.03
1,0.87,-0.71,2.55,0.84
1,1.4,0.05,-0.05,0.24
1,-1.96,1.38,0.23,-1.33
1,0.68,-0.06,0.37,2.47
